month_beginning,month_total,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides
2001-01-01,191682.56923076924,7273.843076923077,4487.663076923077,2749.0846153846155
2001-02-01,180008.1145038168,7538.767938931301,4378.292366412212,2934.4671755725194
2001-03-01,202056.33333333334,7574.184090909089,4756.419696969699,2941.0901515151513
2001-04-01,189006.10606060605,7376.356060606061,4723.128030303032,3060.45606060606
2001-05-01,200182.6015037594,7579.994736842107,4575.215789473683,3075.0270676691744
2001-06-01,187035.92481203008,7148.681954887218,4812.206015037593,3242.3661654135344
2001-07-01,185020.50757575757,7020.422727272725,4580.870454545456,3227.452272727272
2001-08-01,184324.96240601502,6688.266165413534,4383.224060150378,3276.8300751879697
2001-09-01,184282.17164179104,7483.575373134326,4740.295522388061,3096.428358208954
2001-10-01,201919.83333333334,7467.174242424244,4446.977272727274,3116.138636363637
2001-11-01,188562.3409090909,7407.1492424242415,4552.544696969695,2983.9931818181813
2001-12-01,176664.30303030304,6912.452272727272,4442.553787878787,2722.461363636363
2002-01-01,186997.11363636365,7097.743939393942,4301.590151515151,2757.434848484848
2002-02-01,178375.1679389313,7348.37175572519,4785.547328244275,3101.3015267175565
2002-03-01,187451.43181818182,7245.712878787881,4307.697727272727,2765.9393939393935
2002-04-01,190126.90151515152,7321.7863636363645,4450.775757575759,2854.290151515151
2002-05-01,195393.70895522388,7404.447761194027,4368.261940298507,3044.964925373134
2002-06-01,180937.80147058822,7065.777205882354,4731.688970588235,3230.102941176471
2002-07-01,184205.23529411765,6846.907352941179,4494.629411764708,3141.036764705883
2002-08-01,185049.1911764706,6731.727941176469,4795.116911764708,3324.9272058823517
2002-09-01,193105.8088235294,7777.311029411763,4740.293382352944,3122.839705882352
2002-10-01,206207.70588235295,7618.241911764707,4703.107352941174,3056.7801470588233
2002-11-01,181213.0294117647,7252.796323529413,4452.770588235297,2818.475
2002-12-01,176199.04411764705,6780.802205882352,4434.094852941177,2706.12794117647
2003-01-01,179165.7014925373,6846.773880597015,3972.5828358208937,2542.0507462686564
2003-02-01,168556.23134328358,7020.700746268658,4243.241791044776,2853.443283582089
2003-03-01,181676.97037037037,6962.73851851852,4321.671851851854,2789.893333333333
2003-04-01,179275.51111111112,6861.1251851851885,4327.597777777777,2849.028148148148
2003-05-01,184536.04379562044,7097.165693430658,4365.847445255476,2773.7226277372265
2003-06-01,171917.5285714286,6685.2521428571445,4328.547142857142,2931.5392857142847
2003-07-01,177907.06666666668,6613.333333333335,4352.13777777778,3034.945185185184
2003-08-01,169338.89130434784,6275.692753623185,4546.868115942032,3040.3246376811594
2003-09-01,180159.77464788733,7142.2218309859145,4264.054225352113,2703.6112676056346
2003-10-01,191909.28368794327,7071.20496453901,4455.340425531914,2927.1446808510623
2003-11-01,162295.5357142857,6670.190714285715,4031.700714285714,2594.0064285714275
2003-12-01,164920.92857142858,6209.403571428571,3921.375714285715,2542.491428571428
2004-01-01,163615.0287769784,6318.679136690649,3836.6748201438854,2369.1165467625897
2004-02-01,162704.9,6630.8707142857165,4210.880714285715,2723.566428571428
2004-03-01,181756.89285714287,6709.297142857147,4230.4114285714295,2648.7085714285713
2004-04-01,171816.6170212766,6554.934042553195,4180.756737588651,2775.5439716312057
2004-05-01,171949.53146853147,6761.220979020976,4108.493006993008,2722.934965034964
2004-06-01,171766.46527777778,6487.332638888885,4365.249305555555,2957.8812500000013
2004-07-01,166555.993006993,6226.588111888112,4220.959440559442,2986.7783216783223
2004-08-01,162190.2808219178,5952.182191780821,4222.6513698630115,2996.5294520547927
2004-09-01,179752.80821917808,7036.186301369862,4370.326027397257,2988.901369863012
2004-10-01,186020.57638888888,7108.549305555559,4518.02986111111,3112.491666666667
2004-11-01,171247.46153846153,6730.037762237765,4134.684615384615,2710.2783216783205
2004-12-01,161263.62937062938,5952.638461538462,4240.949650349651,2330.8237762237754
2005-01-01,161472.56944444444,6340.338194444451,3453.960416666667,2440.133333333333
2005-02-01,165635.72916666666,6866.456249999998,4449.367361111112,2687.552083333333
2005-03-01,178743.95138888888,6571.279166666663,4099.138888888888,2845.0402777777786
2005-04-01,178096.65972222222,6904.014583333336,4322.018750000003,2952.525694444445
2005-05-01,176994.79452054793,6834.303424657534,4193.834931506849,2846.101369863012
2005-06-01,172665.89655172414,6504.6082758620705,4334.8234482758635,3102.13448275862
2005-07-01,166595.31724137932,6324.953103448275,4365.15724137931,3079.716551724138
2005-08-01,172662.72789115645,6234.219047619049,4298.77006802721,3135.944897959184
2005-09-01,186046.81632653062,7275.476870748302,4526.051020408163,3176.3537414965995
2005-10-01,190225.73611111112,7260.4118055555555,4542.9444444444425,3030.247916666666
2005-11-01,171809.52413793103,6781.146896551722,4175.85448275862,2653.304827586208
2005-12-01,162478.25,6232.646527777782,3774.3354166666645,2562.1895833333333
2006-01-01,159650.7931034483,6190.424137931036,3744.755862068963,2484.362068965517
2006-02-01,158469.26206896553,6647.034482758619,3829.4848275862055,2618.4662068965513
2006-03-01,181230.14383561644,6696.922602739727,4302.634931506851,2805.0452054794514
2006-04-01,162986.26712328766,6492.39178082192,4088.8794520547954,2599.349315068493
2006-05-01,177722.1689189189,6699.477027027026,4290.220945945948,2899.7182432432433
2006-06-01,163903.1059602649,6252.849006622516,4070.893377483443,2806.913245033113
2006-07-01,158669.52027027027,6030.447972972979,4137.622297297296,2925.5898648648654
2006-08-01,161644.8355263158,5837.493421052636,4095.286842105263,2915.790789473684
2006-09-01,169699.49342105264,6776.323026315792,4133.544736842104,2800.8552631578946
2006-10-01,175796.30718954248,6627.495424836601,4121.06405228758,2840.638562091501
2006-11-01,167131.98,6592.6339999999955,3926.590666666665,2641.5920000000006
2006-12-01,156727.5894039735,6115.2516556291375,3933.8231788079474,2489.7933774834432
2007-01-01,158595.18300653595,5999.401307189544,3770.320915032679,2319.23660130719
2007-02-01,142559.39869281047,6011.2222222222235,3449.4320261437906,2218.329411764705
2007-03-01,175356.61842105264,6547.714473684208,4053.9500000000003,2776.023684210526
2007-04-01,162704.55844155845,6306.188311688314,4083.8331168831164,2839.4285714285725
2007-05-01,177779.31612903226,6693.0445161290345,4156.788387096775,2831.601290322582
2007-06-01,164675.9090909091,6284.927272727271,4217.861688311688,2997.7383116883116
2007-07-01,163282.64285714287,6108.903896103896,4294.36948051948,3079.1519480519482
2007-08-01,165791.52258064516,5980.132258064513,4321.522580645161,2966.8961290322586
2007-09-01,170422.01923076922,6871.498717948718,4396.624358974357,3065.4705128205132
2007-10-01,187522.67096774193,6861.923225806448,4473.431612903226,3030.237419354838
2007-11-01,167717.13636363635,6558.621428571426,4235.848051948052,2749.594805194805
2007-12-01,155644.85064935064,6086.118831168829,3935.192207792207,2511.246753246754
2008-01-01,161955.80794701987,6176.260927152316,3556.7629139072837,2377.292052980132
2008-02-01,161156.59868421053,6403.619078947369,4190.814473684209,2569.3447368421052
2008-03-01,172276.42763157896,6557.719078947365,4265.284868421052,2915.2131578947383
2008-04-01,184973.98039215687,7001.575163398691,4574.709803921568,3253.2529411764704
2008-05-01,187152.2077922078,7055.362987012991,4794.114935064933,3194.5188311688307
2008-06-01,178615.1168831169,6821.0305194805205,4830.499999999999,3387.8883116883126
2008-07-01,187269.17105263157,6906.019078947364,4605.960526315791,3607.303289473685
2008-08-01,182051.2302631579,6668.592105263163,4983.076315789475,3623.467763157894
2008-09-01,189574.12337662338,7383.029870129871,4715.166233766237,3215.8188311688305
2008-10-01,202679.6274509804,7398.499999999998,4954.988235294118,3317.238562091503
2008-11-01,171604.52631578947,6953.18092105263,4445.120394736841,2934.880921052633
2008-12-01,159266.82894736843,6031.115789473686,3808.4335526315776,2316.471052631579
2009-01-01,164051.01315789475,6321.878947368423,3781.465131578947,2500.2578947368424
2009-02-01,164146.125,6753.532894736845,4360.639473684211,2988.1361842105257
2009-03-01,182435.55629139073,6913.469536423845,4179.613245033112,2729.443046357615
2009-04-01,174261.92105263157,6649.001315789473,4338.887500000002,2690.9289473684216
2009-05-01,179606.48366013073,6869.889542483664,4664.767320261441,3195.732026143791
2009-06-01,171605.85714285713,6401.303896103894,4448.415584415585,3337.040909090909
2009-07-01,174963.25490196078,6346.241176470589,4351.761437908497,3674.3176470588232
2009-08-01,167717.47402597402,6124.868181818179,4650.599350649346,3303.6922077922072
2009-09-01,180726.22727272726,7018.911038961036,4654.960389610392,3231.959090909091
2009-10-01,190903.72666666665,7062.32666666667,4604.720666666664,3209.637333333333
2009-11-01,175525.61073825503,6981.473154362417,4601.256375838924,3036.689261744966
2009-12-01,164446.71812080537,6153.442281879197,4063.737583892617,2689.640268456377
2010-01-01,168908.0810810811,6664.9871621621605,3944.3290540540547,2659.639864864865
2010-02-01,161130.59731543623,6948.515436241606,4178.454362416107,2911.7724832214753
2010-03-01,192687.56834532373,7125.719424460431,4250.6712230215835,2987.711510791367
2010-04-01,185029.44285714286,7084.790000000002,4423.602142857144,2987.6092857142858
2010-05-01,181874.72340425532,7032.280851063828,4539.7773049645375,3149.4985815602827
2010-06-01,180938.42857142858,6831.926428571426,4486.777857142859,3237.6371428571415
2010-07-01,178714.55,6635.735714285714,4551.9871428571405,3389.4892857142863
2010-08-01,182715.70714285714,6663.12714285714,4804.652857142856,3422.4628571428575
2010-09-01,189212.48226950355,7394.693617021274,4507.875886524821,3306.9468085106387
2010-10-01,196662.54347826086,7464.727536231882,4709.726086956521,3287.059420289855
2010-11-01,179465.8,7028.193571428568,4285.747857142857,2979.1607142857138
2010-12-01,163862.8273381295,6049.699280575536,4140.038129496404,2474.7453237410073
2011-01-01,174595.21582733814,6778.090647482017,4037.6827338129497,2703.988489208634
2011-02-01,163577.87769784173,6671.756115107914,4604.756115107916,3027.4107913669072
2011-03-01,198571.26811594202,7337.663043478262,4475.7398550724665,3031.0876811594203
2011-04-01,182876.11510791368,6988.261870503598,4700.989208633095,3232.846043165469
