month_beginning,month_total,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides
2001-01-01,43494,1794.9,637.8,291.0
2001-01-01,50919,2030.4,943.3,495.4
2001-01-01,65267,2668.3,991.0,520.0
2001-01-01,60810,2539.9,759.8,378.8
2001-01-01,106162,4286.0,1883.5,867.2
2001-01-01,80102,3338.0,1060.5,484.8
2001-01-01,53255,2132.2,963.3,498.8
2001-01-01,97322,4052.4,1354.0,550.8
2001-01-01,140195,6107.6,1022.3,347.6
2001-01-01,186353,7579.6,2506.0,1915.6
2001-01-01,118537,5021.7,1257.8,605.6
2001-01-01,71488,2907.8,1150.0,583.4
2001-01-01,77738,3216.8,1051.3,552.6
2001-01-01,49035,2034.3,640.8,343.4
2001-01-01,31895,1280.0,553.5,304.0
2001-01-01,56976,2385.1,679.3,357.4
2001-01-01,163166,7217.2,718.3,303.0
2006-04-01,0,0.0,0.0,0.0
2001-01-01,180161,7928.3,895.8,431.0
2001-01-01,81860,3638.3,300.0,123.4
2001-01-01,56662,2391.6,701.8,248.0
2001-01-01,165928,6918.8,2206.0,978.2
2001-01-01,210942,8352.5,3808.5,2390.8
2001-01-01,350089,15174.9,2356.3,1363.4
2001-02-01,152971,6389.5,3761.0,2534.3
2001-02-01,37553,1510.5,1079.3,756.5
2001-02-01,110184,4478.1,2999.8,2155.8
2001-02-01,122130,5010.0,3339.8,2143.0
2001-02-01,81022,3288.7,2210.3,1601.8
2001-02-01,74821,3099.1,1866.0,1343.8
2001-02-01,109762,4547.2,2706.8,1997.8
2001-02-01,82954,3420.1,2073.8,1564.3
2001-02-01,67801,2775.0,1764.3,1311.0
2001-02-01,67848,2742.4,1864.0,1386.3
2001-02-01,129078,5368.7,3341.3,2085.0
2001-02-01,107787,4518.0,2572.3,1784.8
2001-02-01,119335,4992.7,2905.5,1965.0
2001-02-01,231643,9317.7,6584.5,4737.8
2001-02-01,242787,10417.9,5102.0,3505.3
2001-02-01,89439,3576.6,2561.0,1915.8
2001-02-01,166712,6703.9,4672.8,3485.8
2001-02-01,309684,12516.1,8718.3,6122.5
2001-02-01,202304,8246.9,5431.0,3910.8
2001-02-01,311022,13598.5,5792.3,3971.0
2001-02-01,164594,7399.0,2665.0,1488.5
2001-02-01,259132,11756.0,3877.3,2125.8
2001-02-01,61156,2645.3,1287.0,775.8
2001-02-01,137861,5766.3,3365.8,2268.3
2001-02-01,137861,5766.3,3365.8,2268.3
2001-02-01,69382,2553.9,2574.0,2002.0
2001-02-01,86850,3588.6,2165.0,1604.8
2001-02-01,59216,2400.7,1603.3,1197.3
2001-02-01,111842,4587.7,3002.8,2019.3
2001-02-01,89194,3586.3,2416.5,1950.5
2001-02-01,166937,6869.5,4392.8,2994.0
2001-02-01,181907,7489.3,4700.0,3330.3
2001-02-01,131125,5454.7,3301.5,2206.3
2001-02-01,338708,14445.6,7166.5,5282.8
2001-02-01,24573,1095.9,411.8,252.3
2001-02-01,22185,955.2,501.3,269.3
2001-02-01,14449,593.2,431.0,215.3
2001-02-01,16688,708.9,387.5,240.3
2001-02-01,86409,3528.9,2515.3,1442.8
2001-02-01,16249,673.7,415.8,278.3
2001-02-01,28407,1213.8,655.3,377.8
2001-02-01,19300,841.8,383.3,233.0
2001-02-01,50909,2545.5,0.0,0.0
2001-02-01,204366,7844.5,5748.3,6120.8
2001-02-01,118020,5236.2,1996.3,1327.8
2001-02-01,105790,4760.3,1561.5,1084.8
2001-02-01,60775,2706.4,1011.5,650.3
2001-02-01,151298,6661.4,2645.8,1872.0
2001-02-01,43889,1958.6,690.0,489.3
2001-02-01,84091,3661.0,1587.3,1130.5
2001-02-01,55121,2487.2,800.8,543.5
2001-02-01,107392,4606.1,2231.3,1586.5
2001-02-01,107712,4636.0,2252.0,1496.0
2001-02-01,67211,2912.7,1374.0,865.3
2001-02-01,64994,2844.2,1254.3,773.5
2001-02-01,95630,4170.4,1789.5,1266.0
2001-02-01,102745,4484.4,1940.3,1324.0
2001-02-01,48606,2204.9,703.5,423.5
2001-02-01,26138,1152.5,479.5,292.5
2001-02-01,192430,8890.6,2275.5,1379.0
2001-02-01,125934,5945.8,1102.3,652.3
2001-02-01,159623,7392.2,1903.5,1041.3
2001-02-01,46354,2208.6,354.3,191.5
2001-02-01,51136,2278.2,744.5,648.5
2001-02-01,94352,4405.3,963.0,598.8
2001-02-01,49627,2242.7,768.5,425.0
2001-02-01,45799,1969.9,987.5,613.0
2001-02-01,24067,991.9,635.3,422.3
2001-02-01,31622,1297.6,853.8,564.0
2001-02-01,29937,1215.2,797.0,611.3
2001-02-01,25627,1044.3,692.0,493.5
2001-02-01,34714,1527.8,639.5,400.3
2001-02-01,30384,1394.1,392.3,233.3
2001-02-01,18711,802.3,390.3,276.3
2001-02-01,79180,3568.1,1183.5,771.3
2001-02-01,45983,2298.3,4.0,0.5
2001-02-01,19955,997.6,0.8,0.0
2001-02-01,13421,671.0,0.3,0.0
2001-02-01,10986,548.7,3.0,0.0
2001-02-01,15955,797.7,0.5,0.0
2001-02-01,8833,441.3,1.8,0.0
2001-02-01,9126,455.9,2.0,0.0
2001-02-01,9484,473.9,1.5,0.0
2001-02-01,6286,314.3,0.3,0.0
2001-02-01,17673,883.0,3.5,0.0
2001-02-01,31776,1587.4,7.0,0.0
2001-02-01,75724,3288.3,1563.5,926.3
2001-02-01,30962,1382.0,499.0,331.8
2001-02-01,27942,1282.2,368.3,206.3
2001-02-01,43695,1902.5,877.5,533.8
2001-02-01,55799,2372.6,1238.5,848.3
2001-02-01,30856,1335.8,631.8,403.5
2001-02-01,30985,1322.9,679.0,452.8
2001-02-01,36591,1530.6,876.5,618.3
2001-02-01,28685,1225.5,610.8,433.0
2001-02-01,18497,792.9,375.5,284.3
2001-02-01,32791,1458.0,547.0,360.8
2001-02-01,38803,1810.2,405.3,244.8
2001-02-01,45382,1928.2,1015.0,689.5
2001-02-01,14239,595.8,343.8,237.0
2001-02-01,18933,797.5,449.3,296.5
2001-02-01,31218,1293.5,818.3,519.0
2001-02-01,27733,1144.3,728.8,483.3
2001-02-01,18102,743.4,487.3,321.3
2001-02-01,17406,735.2,435.0,240.8
2001-02-01,32976,1405.1,722.8,495.8
2001-02-01,18093,741.9,494.3,319.5
2001-02-01,41927,1770.4,943.0,686.8
2001-02-01,96157,4139.9,2143.0,1197.0
2001-02-01,35622,1486.9,886.8,584.5
2001-02-01,24207,1078.8,426.5,231.3
2001-02-01,28820,1279.8,496.8,309.3
2001-02-01,78094,3399.6,1604.8,920.8
2001-02-01,47980,2095.4,962.0,556.3
2001-02-01,46004,2025.3,887.3,487.5
2001-02-01,51239,2299.5,838.3,474.3
2001-02-01,39512,1800.5,575.8,299.8
2001-02-01,46204,2021.0,876.5,569.5
2001-02-01,58149,2608.6,945.8,548.8
2001-02-01,52992,2430.6,728.3,366.8
2001-02-01,96008,4270.7,1723.8,924.8
2001-02-01,73572,3394.6,942.5,477.5
2001-02-01,48179,2134.7,868.5,503.0
2001-02-01,89988,4084.8,1404.5,668.8
2001-02-01,125479,6025.0,956.0,289.0
2001-02-01,172216,7702.5,2466.5,2075.3
2001-02-01,114338,5335.4,1237.0,670.8
2001-02-01,66619,2991.3,1087.0,611.3
2001-02-01,72565,3314.5,1007.3,561.5
2001-02-01,46232,2106.7,671.5,353.0
2001-02-01,29697,1316.3,531.8,311.0
2001-02-01,54555,2500.2,694.8,443.3
2001-02-01,148103,7188.8,711.5,370.3
2001-02-01,161069,7766.4,911.8,523.8
2001-02-01,73661,3603.0,272.0,128.3
2001-02-01,55040,2534.2,755.0,334.3
2001-02-01,157488,7185.7,2301.8,1141.8
2001-02-01,192934,8397.4,3733.0,2513.5
2001-02-01,322212,15290.2,2425.0,1677.3
2001-03-01,171836,6435.6,3975.4,2594.0
2001-03-01,41797,1509.0,1110.0,762.5
2001-03-01,124194,4521.9,3159.4,2229.0
2001-03-01,133657,4899.3,3447.6,2158.8
2001-03-01,92161,3339.8,2398.6,1673.3
2001-03-01,82860,3089.5,1887.0,1363.8
2001-03-01,123586,4580.6,2913.4,2061.5
2001-03-01,92312,3402.8,2226.8,1579.3
2001-03-01,77093,2823.9,1905.2,1360.3
2001-03-01,77828,2811.4,1976.6,1523.5
2001-03-01,145046,5427.0,3445.0,2106.8
2001-03-01,121307,4511.0,2971.2,1802.3
2001-03-01,140520,5102.2,3785.6,2336.0
2001-03-01,269746,9581.4,7888.8,4878.0
2001-03-01,262905,9921.6,6034.6,3614.0
2001-03-01,102929,3661.2,2882.6,1992.3
2001-03-01,193363,6902.9,5401.0,3623.8
2001-03-01,356793,12810.8,9963.8,6284.0
2001-03-01,246602,8937.6,6631.6,4204.3
2001-03-01,356970,13990.4,6586.8,4062.0
2001-03-01,188649,7587.1,3152.2,1492.8
2001-03-01,296458,11979.2,4664.8,2398.0
2001-03-01,74845,2874.8,1642.6,846.5
2001-03-01,164671,6143.0,3698.6,2757.8
2001-03-01,164671,6143.0,3698.6,2757.8
2001-03-01,78362,2633.5,2649.0,1795.0
2001-03-01,97030,3588.5,2328.2,1610.8
2001-03-01,65894,2388.6,1691.6,1221.5
2001-03-01,128672,4753.2,3204.8,2019.5
2001-03-01,101724,3701.5,2511.6,1933.5
2001-03-01,185984,6870.0,4546.4,3027.8
2001-03-01,201493,7446.4,4871.6,3328.8
2001-03-01,147611,5526.5,3465.6,2174.8
2001-03-01,378875,14521.9,7686.8,5239.8
2001-03-01,27596,1094.5,491.0,265.8
2001-03-01,23843,936.2,436.0,266.5
2001-03-01,15367,567.4,422.6,193.0
2001-03-01,17296,661.3,377.6,215.0
2001-03-01,94895,3488.7,2501.8,1408.8
2001-03-01,18118,667.3,442.6,306.3
2001-03-01,31733,1200.6,740.6,404.0
2001-03-01,21394,831.8,434.6,230.3
2001-03-01,55064,2502.9,0.0,0.0
2001-03-01,240372,8213.3,6472.8,6829.0
2001-03-01,130368,5225.5,2027.0,1318.3
2001-03-01,119498,4773.5,1990.8,1131.5
2001-03-01,68465,2712.9,1227.8,660.5
2001-03-01,169875,6709.9,2904.6,1933.8
2001-03-01,50082,1995.1,811.0,533.5
2001-03-01,94436,3704.4,1694.2,1117.0
2001-03-01,62624,2540.5,894.0,565.5
2001-03-01,117753,4562.8,2232.2,1552.5
2001-03-01,119525,4664.9,2273.8,1382.3
2001-03-01,75366,2957.7,1370.8,860.8
2001-03-01,72555,2913.0,1100.2,742.3
2001-03-01,108269,4253.1,1928.6,1264.3
2001-03-01,114972,4495.3,2135.2,1350.0
2001-03-01,54738,2229.0,773.0,458.5
2001-03-01,31217,1229.2,573.8,326.3
2001-03-01,219907,9148.2,2637.8,1364.5
2001-03-01,140867,5987.7,1304.0,654.5
2001-03-01,183105,7562.1,2407.2,1175.5
2001-03-01,53632,2292.6,447.4,239.5
2001-03-01,57591,2310.0,821.6,666.0
2001-03-01,92342,3825.9,1149.2,606.5
2001-03-01,56509,2249.8,968.0,543.3
2001-03-01,51744,1987.8,1051.8,688.5
2001-03-01,27525,1009.0,685.2,475.0
2001-03-01,37143,1371.1,939.4,570.5
2001-03-01,34005,1222.4,913.6,636.3
2001-03-01,28542,1042.0,739.2,480.3
2001-03-01,39576,1558.5,731.0,408.5
2001-03-01,34810,1428.5,487.8,236.0
2001-03-01,20928,805.6,435.0,257.5
2001-03-01,87973,3557.2,1319.8,778.8
2001-03-01,51927,2358.1,9.8,0.0
2001-03-01,21998,999.7,1.0,0.0
2001-03-01,15170,689.2,1.6,0.0
2001-03-01,12355,561.0,2.8,0.0
2001-03-01,17176,780.4,1.4,0.0
2001-03-01,9752,443.0,1.4,0.0
2001-03-01,10110,459.2,1.4,0.0
2001-03-01,10402,472.5,1.4,0.0
2001-03-01,6624,301.0,0.6,0.0
2001-03-01,19464,883.8,4.2,0.0
2001-03-01,35433,1610.1,2.2,0.0
2001-03-01,86201,3319.5,1848.2,983.0
2001-03-01,36155,1430.8,641.6,367.5
2001-03-01,31431,1287.4,446.0,219.8
2001-03-01,45641,1788.7,860.8,496.5
2001-03-01,64045,2450.0,1372.0,821.3
2001-03-01,34586,1336.4,700.8,420.5
2001-03-01,35110,1339.1,742.6,484.0
2001-03-01,42027,1577.7,961.8,627.0
2001-03-01,33456,1285.8,687.0,433.3
2001-03-01,21573,829.0,439.6,284.0
2001-03-01,37733,1511.9,603.4,363.5
2001-03-01,44899,1881.2,469.6,291.3
2001-03-01,51026,1952.1,1063.0,691.0
2001-03-01,16028,604.0,354.8,241.8
2001-03-01,21508,816.5,475.8,291.3
2001-03-01,33936,1256.6,891.2,458.8
2001-03-01,31078,1164.2,740.2,441.0
2001-03-01,20378,752.5,503.6,326.5
2001-03-01,18867,717.3,426.4,238.5
2001-03-01,37244,1433.1,732.0,514.0
2001-03-01,20951,784.8,497.2,299.8
2001-03-01,46262,1765.5,964.4,650.0
2001-03-01,107725,4149.5,2284.8,1252.8
2001-03-01,41240,1541.8,980.0,605.3
2001-03-01,27765,1097.6,520.6,253.5
2001-03-01,32102,1278.4,563.6,289.8
2001-03-01,86368,3327.5,1820.0,1016.0
2001-03-01,53796,2089.1,1104.2,578.5
2001-03-01,51809,2028.5,1008.6,535.0
2001-03-01,59014,2342.7,1078.4,520.8
2001-03-01,45357,1830.4,781.0,295.8
2001-03-01,53344,2066.7,1128.2,559.0
2001-03-01,66715,2645.5,1241.8,576.5
2001-03-01,59551,2433.6,891.4,388.5
2001-03-01,110374,4339.3,2197.6,980.5
2001-03-01,84143,3450.1,1228.2,525.0
2001-03-01,54975,2186.0,987.8,485.8
2001-03-01,98973,4013.6,1614.6,650.0
2001-03-01,140376,6056.1,1120.0,385.3
2001-03-01,200638,8005.1,2963.6,2427.0
2001-03-01,127780,5353.0,1426.4,720.8
2001-03-01,75063,3016.1,1222.8,648.8
2001-03-01,81880,3367.0,1083.0,598.0
2001-03-01,53191,2172.3,772.4,384.5
2001-03-01,33117,1318.6,578.6,303.5
2001-03-01,60689,2509.9,771.6,403.3
2001-03-01,146960,6490.5,643.4,238.0
2001-03-01,163495,7157.1,845.0,453.5
2001-03-01,73864,3276.6,250.0,132.3
2001-03-01,54290,2260.5,693.2,273.5
2001-03-01,192086,7770.8,3131.0,1368.5
2001-03-01,211918,8215.4,4160.8,2593.8
2001-03-01,387078,16524.5,3166.8,1926.3
2001-04-01,161756,6300.8,4056.8,2642.4
2001-04-01,39235,1493.4,1024.5,755.2
2001-04-01,115631,4378.5,3135.3,2228.2
2001-04-01,127259,4878.9,3350.0,2280.6
2001-04-01,88061,3328.6,2408.8,1705.0
2001-04-01,75654,2921.9,1853.0,1376.4
2001-04-01,116387,4487.2,2949.0,2071.8
2001-04-01,86911,3343.7,2223.0,1560.4
2001-04-01,72648,2765.8,1910.3,1385.2
2001-04-01,72429,2679.3,2281.3,1407.6
2001-04-01,130951,5084.1,3333.5,2170.2
2001-04-01,114886,4506.0,2749.0,1852.6
2001-04-01,163152,6175.2,4868.8,2799.4
2001-04-01,256018,9549.0,7687.0,4948.2
2001-04-01,263564,10578.0,5824.5,3625.4
2001-04-01,96903,3623.1,2775.0,1943.6
2001-04-01,182344,6821.2,5165.5,3687.2
2001-04-01,340662,12884.7,9671.8,6279.4
2001-04-01,235235,9013.0,6251.8,4191.2
2001-04-01,330407,13607.5,6153.8,4007.0
2001-04-01,177714,7580.1,2756.5,1501.2
2001-04-01,282829,12123.5,4111.3,2358.0
2001-04-01,63607,2541.3,1354.5,964.2
2001-04-01,155198,6032.9,3710.3,2733.4
2001-04-01,155198,6032.9,3710.3,2733.4
2001-04-01,75613,2633.6,2764.5,1849.8
2001-04-01,114731,4139.2,3708.5,2594.8
2001-04-01,61517,2306.6,1687.3,1265.8
2001-04-01,120974,4628.1,3286.5,2127.6
2001-04-01,95361,3584.6,2555.0,1973.0
2001-04-01,176851,6769.4,4751.8,3137.4
2001-04-01,187151,7190.1,4789.5,3400.2
2001-04-01,134888,5260.9,3305.8,2237.2
2001-04-01,353856,14106.8,7716.5,5349.4
2001-04-01,27801,1134.3,610.8,307.4
2001-04-01,23207,958.2,439.0,265.8
2001-04-01,15421,597.9,474.3,193.8
2001-04-01,18148,719.4,449.5,248.4
2001-04-01,93463,3578.6,2727.5,1480.6
2001-04-01,17764,680.2,474.0,316.8
2001-04-01,29599,1183.0,716.3,378.2
2001-04-01,20205,829.7,410.3,228.0
2001-04-01,54466,2593.6,0.0,0.0
2001-04-01,238913,8501.8,6317.3,7021.2
2001-04-01,127430,5315.0,2204.0,1399.8
2001-04-01,115470,4855.1,1869.5,1206.8
2001-04-01,63949,2684.8,1076.3,652.6
2001-04-01,160163,6595.1,2862.0,2043.4
2001-04-01,47205,1963.4,791.8,561.2
2001-04-01,89035,3650.8,1663.0,1143.4
2001-04-01,59578,2512.7,927.8,620.0
2001-04-01,113073,4558.4,2272.0,1651.8
2001-04-01,113113,4589.4,2283.0,1520.8
