month_beginning,month_total,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides
2001-01-01,86628.77697841727,3430.1244604316553,1568.9215827338098,978.0863309352518
2001-02-01,80480.56115107914,3500.8726618705045,1560.3424460431625,1055.5971223021584
2001-03-01,90980.47482014388,3540.015827338127,1743.9366906474822,1095.145323741007
2001-04-01,86597.21582733814,3526.564028776979,1723.3071942445997,1129.257553956834
2001-05-01,92643.0,3613.837410071944,1753.0899280575497,1225.258992805755
2001-06-01,91005.45714285714,3590.427142857141,1972.2185714285713,1436.374285714283
2001-07-01,93620.42857142857,3652.9178571428565,1986.1264285714249,1494.115714285715
2001-08-01,93507.37142857142,3506.141428571429,1818.90571428571,1397.6814285714254
2001-09-01,86286.21428571429,3652.7571428571428,1859.191428571429,1264.6457142857153
2001-10-01,97437.53571428571,3688.206428571429,1781.6557142857107,1370.611428571426
2001-11-01,87324.07142857143,3530.1871428571426,1829.3764285714246,1174.5485714285708
2001-12-01,78143.15,3169.9278571428563,1677.874285714285,1059.283571428571
2002-01-01,86159.03571428571,3393.5571428571434,1598.870714285711,1021.0914285714287
2002-02-01,80577.53571428571,3452.5228571428584,1725.3249999999955,1156.5899999999988
2002-03-01,85364.11428571428,3404.858571428571,1695.8100000000009,1076.6100000000006
2002-04-01,89830.72857142857,3542.519285714285,1793.652142857139,1180.2185714285697
2002-05-01,90969.44285714286,3548.415,1695.1549999999959,1224.742857142857
2002-06-01,89109.85714285714,3569.2414285714276,2058.6257142857144,1486.4900000000002
2002-07-01,93816.7642857143,3573.6249999999995,1966.638571428567,1466.1171428571424
2002-08-01,91331.50714285714,3432.2228571428577,1984.6685714285716,1474.8499999999967
2002-09-01,91817.56428571428,3792.476428571429,1964.434285714281,1351.8192857142856
2002-10-01,100921.90714285715,3782.760714285716,1994.7121428571388,1484.9228571428544
2002-11-01,87279.50714285714,3600.1871428571444,1868.7457142857158,1186.5171428571425
2002-12-01,80657.0,3204.2835714285693,1728.6428571428532,1075.4407142857142
2003-01-01,82920.36428571428,3265.4742857142855,1502.094999999997,1014.328571428571
2003-02-01,78358.54285714286,3372.0064285714275,1626.929999999996,1102.834285714285
2003-03-01,86372.0142857143,3407.572142857143,1780.8342857142864,1181.747142857143
2003-04-01,86728.47857142857,3415.097142857144,1728.691428571424,1170.4271428571412
2003-05-01,88329.67857142857,3469.440714285715,1833.3814285714282,1260.9014285714293
2003-06-01,89008.44285714286,3499.335,2007.5299999999959,1498.4942857142864
2003-07-01,93614.94285714286,3543.4857142857145,1962.7292857142809,1561.5071428571432
2003-08-01,88684.13571428572,3373.5478571428575,2091.9071428571424,1476.0171428571427
2003-09-01,93277.79285714286,3740.3892857142855,2023.5414285714244,1327.1242857142859
2003-10-01,101244.80714285714,3759.0771428571434,2120.1528571428526,1576.4007142857106
2003-11-01,82720.87857142858,3478.949285714285,1857.7999999999993,1221.9799999999993
2003-12-01,80532.45,3108.162142857143,1675.4814285714242,1090.2157142857143
2004-01-01,79038.77857142857,3157.415714285713,1519.378571428572,1027.228571428571
2004-02-01,79288.4,3340.5721428571455,1728.971428571424,1112.3342857142861
2004-03-01,89296.15714285715,3361.402857142857,1829.3199999999958,1166.6907142857133
2004-04-01,86265.52142857143,3381.2149999999997,1778.354999999996,1191.3857142857125
2004-05-01,84507.5142857143,3410.245714285714,1773.3885714285711,1239.3557142857137
2004-06-01,90728.15714285715,3468.7607142857137,2067.382142857139,1536.5249999999965
2004-07-01,89768.28571428571,3412.319999999999,2086.0728571428563,1535.8342857142864
2004-08-01,87399.55,3286.289285714286,1955.434999999996,1455.9042857142854
2004-09-01,91120.15714285715,3629.3014285714303,1952.5621428571383,1418.940000000001
2004-10-01,93325.42857142857,3609.662857142859,1960.9757142857136,1543.5528571428567
2004-11-01,85456.64285714286,3428.1492857142853,1857.9371428571387,1206.7557142857138
2004-12-01,78909.22857142857,2971.752142857143,1839.9078571428574,1007.8371428571431
2005-01-01,80698.27857142857,3241.9378571428583,1532.5542857142811,1081.256428571429
2005-02-01,79203.77857142857,3374.5042857142857,1787.6649999999954,1140.929285714285
2005-03-01,87843.31428571428,3316.4264285714303,1724.4678571428533,1166.9649999999988
2005-04-01,88623.33571428571,3523.9642857142853,1856.1542857142854,1334.839285714283
2005-05-01,90285.2357142857,3522.6985714285715,2002.5449999999948,1383.0778571428568
2005-06-01,93881.05714285714,3577.05142857143,2152.8514285714245,1643.6792857142816
2005-07-01,91470.37142857142,3474.34857142857,2262.6471428571426,1778.4349999999997
2005-08-01,94170.75,3456.567142857144,2089.046428571424,1578.4521428571395
