,stop_id,on_street,cross_street,routes,boardings,alightings,location
2364,3087,KEDZIE,52ND STREET,"52,52A",36.0,52.1,"(41.79906955, -87.70379432)"
2365,3089,KEDZIE,54TH STREET,"52,52A",17.5,72.8,"(41.79543405, -87.7036717)"
2366,3090,KEDZIE,55TH STREET,"52,52A",213.2,326.5,"(41.79364014, -87.70365104)"
2367,3091,KEDZIE,56TH STREET,"52,52A",20.7,61.9,"(41.79178516, -87.7035844)"
2368,3092,KEDZIE,57TH STREET,"52,52A",16.4,101.4,"(41.78996466, -87.70353155)"
2369,3093,KEDZIE,58TH STREET,"52,52A",77.0,195.6,"(41.78818698, -87.7034698)"
2370,3095,KEDZIE,60TH STREET,"52,52A",19.6,104.1,"(41.7845285, -87.70335784)"
2371,3097,KEDZIE,62ND STREET,"52,52A",26.7,204.5,"(41.7808785, -87.70327083)"
2372,3099,KEDZIE,63RD PLACE,52,228.2,151.4,"(41.77832526, -87.70334562)"
2373,3101,KEDZIE,62ND STREET,"52,52A",106.9,27.6,"(41.7807125, -87.70312583)"
2374,3102,KEDZIE,61ST STREET,"52,52A",218.7,42.1,"(41.7825385, -87.70316683)"
2375,3103,KEDZIE,60TH STREET,"52,52A",88.0,26.0,"(41.7843635, -87.70321284)"
2376,3104,KEDZIE,59TH STREET,"52,52A",260.5,96.2,"(41.78604284, -87.70323809)"
2377,3105,KEDZIE,58TH STREET,"52,52A",98.4,55.3,"(41.7879498, -87.70331107)"
2378,3107,KEDZIE,56TH STREET,"52,52A",80.3,35.1,"(41.79158602, -87.70340757)"
2379,3108,KEDZIE,55TH STREET,"52,52A",326.8,191.4,"(41.79340632, -87.70346041)"
2380,3109,KEDZIE,54TH STREET,"52,52A",105.5,17.2,"(41.79524352, -87.70352273)"
2381,3110,KEDZIE,53RD STREET,"52,52A",117.4,33.4,"(41.79712529, -87.70358211)"
2382,3111,KEDZIE,52ND STREET,"52,52A",41.3,23.4,"(41.79892264, -87.70362845)"
2383,3112,KEDZIE,51ST STREET,"52,52A",76.4,128.2,"(41.8007149, -87.70367151)"
2384,3113,KEDZIE,dwy n.of KMART bldg-5000s,"51,52,52A",21.4,77.7,"(41.80265955, -87.70372131)"
2385,3115,47TH STREET,KEDZIE,47,42.1,9.3,"(41.80818686, -87.70425837)"
2386,3116,KEDZIE,48TH PLACE (north leg),"47,52",264.0,84.8,"(41.805625, -87.703835)"
2387,3118,KEDZIE,47TH STREET,"47,52",121.1,27.5,"(41.80794026, -87.70385679)"
2388,3119,KEDZIE,46TH STREET,52,26.0,33.6,"(41.80982386, -87.7039531)"
2389,3120,KEDZIE,45TH STREET,52,66.9,83.6,"(41.81161512, -87.7040251)"
2390,3123,KEDZIE,42ND STREET,52,20.5,21.3,"(41.817062, -87.704222)"
2391,3124,KEDZIE,41ST STREET,52,19.4,23.9,"(41.81889654, -87.70431085)"
2392,3125,KEDZIE,40TH STREET,52,23.7,37.4,"(41.82068828, -87.70438589)"
2393,3128,KEDZIE,3700 SOUTH,52,9.4,2.9,"(41.82618445, -87.70442168)"
2394,3130,KEDZIE,36TH STREET,52,30.1,25.9,"(41.827986, -87.704475)"
2395,3131,KEDZIE,driveway to 3426 SOUTH,"35,52",2.4,2.5,"(41.83015494, -87.70452187)"
2396,3132,KEDZIE,3349 SOUTH,"35,52",26.4,42.5,"(41.83266508, -87.70459199)"
2397,3133,KEDZIE,3201 SOUTH,"35,52",3.4,6.1,"(41.83547406, -87.70469377)"
2398,3134,KEDZIE,31ST STREET,52,13.3,27.8,"(41.83713462, -87.70473314)"
2399,3135,KEDZIE,30TH STREET,52,17.3,25.9,"(41.838964, -87.704795)"
2400,3137,KEDZIE,27TH STREET,52,26.8,64.7,"(41.842606, -87.704905)"
2401,3141,KEDZIE,23RD STREET,52,31.1,69.2,"(41.849865, -87.70512)"
2402,3144,KEDZIE,19TH STREET,52,56.4,20.5,"(41.855325, -87.705277)"
2403,3147,KEDZIE,15TH STREET (north leg),52,60.3,26.1,"(41.861232, -87.705443)"
2404,3148,KEDZIE,DOUGLAS (s.service drive),52,45.9,28.8,"(41.86239345, -87.70545374)"
2405,3149,KEDZIE,DOUGLAS (n.service drive),52,60.4,19.9,"(41.86314714, -87.70548753)"
2406,3150,KEDZIE,13TH STREET,52,58.0,69.6,"(41.864485, -87.705536)"
2407,3152,KEDZIE,FILLMORE,52,38.2,6.7,"(41.868136, -87.705652)"
2408,3153,KEDZIE,ARTHINGTON,52,23.9,20.2,"(41.869963, -87.705716)"
2409,3154,KEDZIE,POLK,52,36.0,26.1,"(41.870875, -87.705748)"
2410,3156,KEDZIE,HARRISON,52,157.9,277.4,"(41.87358262, -87.70579833)"
2411,3158,KEDZIE,VAN BUREN (north leg),52,83.9,148.5,"(41.875791, -87.705879)"
2412,3159,KEDZIE,JACKSON,52,122.1,116.0,"(41.877241, -87.705938)"
2413,3162,KEDZIE,MADISON,52,222.9,317.8,"(41.88087025, -87.70602471)"
2414,3164,KEDZIE,WASHINGTON,52,256.5,283.1,"(41.88270813, -87.70607539)"
2415,3165,KEDZIE,LAKE,52,68.2,64.4,"(41.88421582, -87.7061072)"
2416,3170,KEDZIE,FRANKLIN(s.service drive),52,33.0,97.8,"(41.88973708, -87.70628452)"
2417,3173,KEDZIE,HURON,52,62.1,241.0,"(41.893632, -87.706426)"
2418,3174,KEDZIE,CHICAGO,52,64.7,183.6,"(41.89543434, -87.70646001)"
2419,3175,CALIFORNIA,CHICAGO,52,92.0,21.0,"(41.895833, -87.696625)"
2420,3178,CALIFORNIA,THOMAS,52,93.6,64.4,"(41.9010651, -87.69672593)"
2421,3180,CALIFORNIA,POTOMAC,52,22.3,14.4,"(41.90460506, -87.6968243)"
2422,3181,CALIFORNIA,EVERGREEN,52,35.9,24.1,"(41.90559277, -87.69680686)"
2423,3182,CALIFORNIA,HIRSCH,52,54.2,43.8,"(41.90643007, -87.69686363)"
2424,3183,CALIFORNIA,LE MOYNE,52,38.4,51.1,"(41.90832577, -87.69692585)"
2425,3185,CALIFORNIA,WABANSIA (south leg),52,53.5,31.8,"(41.91190157, -87.69694735)"
2426,3186,CALIFORNIA,1750 NORTH,52,19.5,8.2,"(41.91299413, -87.69695695)"
2427,3187,CALIFORNIA,CORTLAND,52,42.4,41.3,"(41.915599, -87.697064)"
2428,3188,CALIFORNIA,ARMITAGE,52,88.9,189.9,"(41.917397, -87.697116)"
2429,3189,CALIFORNIA,POINT,52,16.4,34.8,"(41.91931687, -87.69717285)"
2430,3191,CALIFORNIA,PALMER,52,18.9,369.6,"(41.92178352, -87.69723804)"
2431,3192,CALIFORNIA,MILWAUKEE,52,180.4,199.9,"(41.92268777, -87.69727664)"
2432,3194,CALIFORNIA,ALTGELD,52,9.8,30.7,"(41.92651616, -87.6973777)"
